[2023-06-22T08:05:12.274] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T08:06:56.138] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T08:08:05.147] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T08:08:45.672] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T08:09:06.177] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T08:09:54.837] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T08:10:58.671] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T08:11:23.113] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T08:13:10.080] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T08:14:18.476] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T08:15:56.834] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T08:25:29.157] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T08:25:56.811] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T08:26:53.885] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
[2023-06-22T08:35:08.312] [FATAL] GET - Remote: undefined, path: /apis/
[2023-06-22T08:35:08.351] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-bundle.js
[2023-06-22T08:35:08.355] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui.css
[2023-06-22T08:35:08.360] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-standalone-preset.js
[2023-06-22T08:35:08.362] [FATAL] GET - Remote: undefined, path: /apis/swagger-ui-init.js
[2023-06-22T08:35:08.900] [FATAL] GET - Remote: undefined, path: /apis/favicon-32x32.png
[2023-06-22T08:35:15.232] [FATAL] POST - Remote: http://localhost:3000, path: /api/user/export
